names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
TFF3,56.77378,10.329994,0.0,0.0,1.0,1.0
CD24,54.139965,10.220217,0.0,0.0,1.0,1.0
SLC39A6,50.751446,4.245581,0.0,0.0,1.0,1.0
CEACAM6,45.972713,6.243228,0.0,0.0,1.0,1.0
S100P,45.42867,3.7228014,0.0,0.0,1.0,1.0
TSPAN1,35.447197,9.000326,3.204081069680976e-275,8.033505081981938e-273,1.0,1.0
CLU,27.506655,4.221837,1.4616594948927715e-166,2.015628443457132e-164,1.0,1.0
PPP1R1B,26.913282,3.1422982,1.5355223183977778e-159,1.9249866155186687e-157,1.0,1.0
AGR2,24.40554,1.823522,1.4935519688518975e-131,1.3730721100311777e-129,1.0,1.0
ISG15,21.351473,3.3642805,3.7784273740388865e-101,2.6720263327177564e-99,1.0,1.0
TM4SF1,21.06482,5.3971415,1.6726517984747657e-98,1.1251643073642449e-96,1.0,1.0
EEF1A2,20.862741,4.05025,1.1678347603052715e-96,7.490437834702183e-95,1.0,1.0
CEACAM5,20.497715,2.8108392,2.256446406314519e-93,1.382950930803432e-91,1.0,1.0
ZNF552,19.088194,2.7185903,3.1652822713820483e-81,1.8187184384316018e-79,1.0,1.0
